English,Luganda,,
All refugees were requested to register with the chairman.,Abanoonyiboobubudamu bonna baasabiddwa beewandiise ewa ssentebe.,,
They called for a refugees' meeting yesterday.,Baayise olukungaana lw'abanoonyiboobubudamu eggulo.,,
Refugees had misunderstandings between   themselves.,Abanoonyiboobubudamu b'abadde n'obutakkaanya wakati waabwe.,,
We were urged to welcome refugees into our communities.,Twakubirizibwa okwaniriza abanoonyiboobubudamu mu bitundu byaffe.,,
More development is achieved when we work together.,Bwe tukolera awamu enkulaakulana enyingi efunibwa.,,
The border districts are insecure.,Disitulikiti eziriraanye ensalo si ntebenkevu.,,
Refugees have started practicing farming so as to earn a living.,Abanoonyiboobubudamu batandise okulima okusobola okwebeezaawo.,,
It is illegal to own a gun.,Kimenya mateeka okubeera n'emmundu.,,
He is very disrespectful to his parents.,Awa nnyo bazadde be kitiibwa.,,
He takes a lot of alcohol.,Omusajja anywa nnyo omwenge.,,
We were educated about self-defense.,Twasomeseddwa ku kwerwanako.,,
Many people were shot dead.,Abantu bangi abaakubiddwa amasasi ne bafa.,,
Many people lost their lives during the war.,Abantu bangi abafiirwa obulamu bwabwe mu lutalo.,,
Men should start up savings groups.,Abasajja bateekeddwa okutandika ebibiina ebitereka ensimbi.,,
The savings group is composed of people of different cultures.,Ekibiina ekiterekebwamu ensimbi kibeeramu abantu ab'obuwangwa obw'enjawulo.,,
He was knocked down by a lorry.,Yakooneddwa loole.,,
The lorry driver was arrested.,Omuvuzi wa loole yakwatiddwa.,,
His body has been taken for postmortem.,Omulambo gwe gwatwaliddwa okwekebejebwa.,,
Refugees were told to settle in specific areas.,Abanoonyiboobubudamu baagambiddwa okubeera mu bifo bimu.,,
He died at a very young age.,Yafiiridde ku myaka mito nnyo.,,
The orphans are very depressed.,Bamulekwa banyoleddwa nnyo.,,
Her leg was broken during the car accident.,Okugulu kwe kwamenyekedde mu kabenje k'emmotoka.,,
The headteacher told us to be careful while registering for exams.,Omukulu w'essomero yatugambye tubeere begendereza nga twewandiisa okukola ebibuuzo.,,
Drivers are advised to avoid over speeding.,Abavuzi b'ebidduka bakubiriziddwa okwewala okuvuga endiima.,,
He was driving while drunk.,Yabadde avuga ng'anywedde.,,
The lorry needs to be serviced.,Loole yeetaaga okuddaabiriza.,,
We should not talk on the phone while driving.,Tetulina kwogerera ku ssimu nga tuvuga.,,
